CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
48001951100,Texas,Anderson County,0,4388,1766,0,0,0.00,0,0,0,0,0,0,10.2,64508,1,1,0,0,0,1,0,0,3711,3711,NULL,1000,1000,NULL,4388,100.00,1250,28.49,996,22.70,821,18.71,3776,86.05,382,8.71,13,0.30,3,0.07,20,0.46,194,4.42,236,5.38,51,2.90,139,7.88,4388,100.00,1250,28.49,996,22.70,821,18.71,3776,86.05,382,8.71,13,0.30,3,0.07,20,0.46,194,4.42,236,5.38,51,2.90,139,7.88,3711,84.56,1000,22.78,875,19.95,658,15.01,3209,73.13,319,7.26,12,0.27,3,0.07,15,0.34,153,3.49,187,4.27,45,2.53,116,6.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1151,996,821,3776,382,13,3,20,194,236,42,122
48003950100,Texas,Andrews County,0,1678,620,0,0,0.00,0,0,0,0,0,0,10.9,119821,0,0,0,0,0,0,0,0,82,82,0,21,21,0,1675,99.80,420,25.02,423,25.21,200,11.91,1504,89.63,6,0.36,26,1.55,0,0.00,6,0.36,133,7.92,482,28.70,5,0.82,8,1.23,1004,59.82,252,14.99,245,14.61,123,7.36,898,53.51,3,0.19,7,0.39,0,0.00,3,0.17,93,5.56,320,19.04,3,0.50,5,0.75,82,4.91,21,1.23,20,1.20,8,0.46,78,4.62,0,0.00,0,0.02,0,0.00,0,0.00,5,0.27,19,1.14,0,0.04,0,0.06,0,0.01,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,565,424,200,1507,6,26,0,6,133,483,6,9
48003950200,Texas,Andrews County,1,6473,2365,0,79,1.22,0,0,0,0,1,0,14.4,89355,1,1,1,1,1,0,0,1,1159,4130,1159,173,730,173,4130,63.81,730,11.28,1187,18.34,513,7.92,3418,52.80,51,0.78,24,0.37,0,0.00,44,0.68,594,9.17,1697,26.21,103,4.37,112,4.75,1159,17.90,173,2.68,339,5.23,118,1.82,957,14.79,19,0.30,7,0.11,0,0.00,10,0.15,165,2.55,400,6.18,44,1.87,32,1.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1429,1895,788,5163,123,42,1,62,1082,2948,118,178
48003950300,Texas,Andrews County,1,3924,1370,0,3,0.08,0,0,0,0,0,0,10.0,72612,1,1,1,1,1,0,0,0,2686,3924,2686,1010,1354,1010,3924,100.00,1354,34.50,1204,30.68,399,10.17,2963,75.51,80,2.04,14,0.36,0,0.00,39,0.99,828,21.10,2445,62.31,13,0.97,115,8.39,2686,68.45,1010,25.74,820,20.89,266,6.77,2030,51.74,58,1.48,8,0.20,0,0.00,22,0.55,568,14.47,1626,41.45,10,0.76,79,5.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1742,1204,399,2963,80,14,0,39,828,2445,15,123
48003950400,Texas,Andrews County,0,2711,904,0,0,0.00,0,0,0,0,0,0,1.5,71528,0,0,0,0,0,0,0,0,36,36,5,9,9,1,2711,100.00,669,24.67,789,29.10,276,10.18,2116,78.05,13,0.48,9,0.33,0,0.00,35,1.29,538,19.85,1319,48.65,30,3.34,85,9.36,2711,100.00,669,24.67,789,29.10,276,10.18,2116,78.05,13,0.48,9,0.33,0,0.00,35,1.29,538,19.85,1319,48.65,30,3.34,85,9.36,36,1.31,9,0.32,13,0.50,1,0.03,32,1.16,0,0.00,0,0.00,0,0.00,0,0.00,4,0.15,10,0.37,0,0.04,1,0.12,5,0.18,1,0.05,2,0.07,0,0.00,5,0.18,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,5,0.18,0,0,0,0.01,786,789,276,2116,13,9,0,35,538,1319,30,84
48005000101,Texas,Angelina County,0,6311,2161,0,410,6.50,0,0,0,0,1,0,16.4,65313,1,1,0,0,0,1,0,1,1429,1429,NULL,527,527,NULL,6311,100.00,2604,41.26,1562,24.75,788,12.49,5529,87.61,244,3.87,17,0.27,0,0.00,25,0.40,496,7.86,724,11.47,132,6.09,162,7.48,6311,100.00,2604,41.26,1562,24.75,788,12.49,5529,87.61,244,3.87,17,0.27,0,0.00,25,0.40,496,7.86,724,11.47,132,6.09,162,7.48,1429,22.64,527,8.35,330,5.22,219,3.48,1313,20.80,42,0.67,2,0.04,0,0.00,11,0.17,60,0.95,77,1.22,20,0.94,41,1.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2613,1562,788,5529,244,17,0,25,496,724,118,156
48005000102,Texas,Angelina County,1,4447,1507,0,0,0.00,0,0,0,0,0,0,8.6,71919,1,1,1,1,1,0,0,0,4447,4447,4447,1393,1393,1393,4447,100.00,1393,31.32,1373,30.87,431,9.69,3910,87.92,137,3.08,53,1.19,0,0.00,22,0.49,325,7.31,516,11.60,61,4.02,154,10.19,4447,100.00,1393,31.32,1373,30.87,431,9.69,3910,87.92,137,3.08,53,1.19,0,0.00,22,0.49,325,7.31,516,11.60,61,4.02,154,10.19,45,1.01,12,0.27,6,0.14,8,0.18,43,0.96,0,0.00,0,0.00,0,0.00,1,0.02,1,0.02,0,0.00,1,0.06,2,0.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1504,1373,431,3910,137,53,0,22,325,516,63,160
48005000200,Texas,Angelina County,0,6580,2428,0,12,0.18,0,0,0,0,0,1,17.6,46602,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,6413,97.47,3309,50.29,1699,25.81,834,12.68,4955,75.30,505,7.67,40,0.61,4,0.06,44,0.67,866,13.16,1292,19.64,70,2.87,596,24.53,6377,96.91,3289,49.98,1687,25.64,831,12.63,4926,74.86,505,7.67,39,0.60,4,0.06,44,0.67,859,13.05,1285,19.53,69,2.86,592,24.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3457,1748,851,5099,513,44,4,44,876,1300,64,597
48005000301,Texas,Angelina County,0,5326,1895,0,115,2.16,0,0,0,0,0,0,16.0,58901,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,5326,100.00,1588,29.81,1432,26.89,806,15.13,4210,79.05,606,11.38,15,0.28,0,0.00,46,0.86,449,8.43,738,13.86,39,2.03,393,20.72,5034,94.51,1505,28.26,1374,25.79,661,12.41,3981,74.75,585,10.99,14,0.26,0,0.00,39,0.74,414,7.78,681,12.78,36,1.91,376,19.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1618,1432,806,4210,606,15,0,46,449,738,42,422
48005000302,Texas,Angelina County,0,4613,1617,0,0,0.00,0,0,0,0,0,0,16.0,70061,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4613,100.00,1912,41.46,1340,29.05,541,11.73,3755,81.40,209,4.53,54,1.17,2,0.04,29,0.63,564,12.23,965,20.92,94,5.82,334,20.67,4425,95.93,1796,38.93,1277,27.69,527,11.42,3640,78.90,196,4.26,54,1.17,2,0.04,29,0.63,504,10.93,868,18.82,87,5.38,321,19.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2139,1340,541,3755,209,54,2,29,564,965,117,415
48005000400,Texas,Angelina County,1,5479,2002,0,260,4.75,1,1,1,1,1,1,25.3,55399,1,1,1,1,1,0,0,1,1489,4660,1489,686,2266,686,4660,85.05,2266,41.36,1282,23.39,665,12.15,2434,44.43,1223,22.32,63,1.16,0,0.00,31,0.56,909,16.58,1339,24.43,213,10.63,317,15.82,1489,27.17,686,12.52,418,7.62,231,4.22,812,14.82,312,5.69,5,0.10,0,0.00,5,0.10,354,6.46,518,9.46,49,2.43,100,5.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2224,1476,822,2970,1407,78,0,32,992,1452,210,329
48005000500,Texas,Angelina County,1,4006,1557,0,11,0.27,1,1,1,1,1,1,37.4,31150,1,1,1,1,1,0,0,1,1632,3334,1632,940,2071,940,3334,83.24,2071,51.69,918,22.91,503,12.55,652,16.27,2180,54.42,14,0.35,0,0.00,9,0.22,480,11.98,655,16.34,223,14.34,446,28.64,1632,40.75,940,23.47,517,12.90,199,4.97,468,11.69,871,21.73,9,0.22,0,0.00,0,0.01,284,7.09,365,9.12,108,6.92,216,13.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2476,1106,599,716,2650,19,0,11,610,816,239,487
48005000600,Texas,Angelina County,1,6416,1844,0,466,7.26,1,1,1,0,0,1,19.6,39176,1,1,1,1,1,0,0,0,2301,4419,2301,1249,2345,1249,4419,68.87,2345,36.56,1272,19.82,513,8.00,2163,33.71,1330,20.73,36,0.56,0,0.00,31,0.49,858,13.37,1563,24.36,24,1.31,402,21.82,2301,35.87,1249,19.47,677,10.55,269,4.19,1204,18.77,505,7.87,12,0.19,0,0.00,15,0.23,565,8.81,937,14.60,6,0.33,203,11.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3524,1983,670,3002,1900,46,0,35,1433,2775,48,587
48005000700,Texas,Angelina County,1,3292,1048,0,59,1.79,0,1,0,0,0,1,36.0,42426,0,1,0,1,0,0,0,0,252,1713,252,188,1210,188,1713,52.03,1210,36.75,543,16.50,124,3.75,903,27.42,440,13.37,12,0.36,0,0.00,10,0.31,348,10.56,751,22.82,54,5.13,252,24.06,252,7.66,188,5.72,90,2.73,28,0.85,156,4.75,53,1.60,1,0.04,0,0.00,1,0.03,41,1.24,76,2.29,12,1.13,39,3.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2897,1059,280,1633,845,16,0,20,778,1669,97,551
48005000800,Texas,Angelina County,1,6299,2395,0,40,0.64,0,0,0,0,0,0,9.3,65569,1,1,1,1,1,0,0,0,2197,4576,2197,590,1354,590,4576,72.64,1354,21.50,1248,19.82,721,11.44,3115,49.46,983,15.61,51,0.81,1,0.02,21,0.34,404,6.42,653,10.36,60,2.48,248,10.37,2197,34.88,590,9.37,608,9.65,343,5.45,1516,24.07,474,7.53,26,0.42,1,0.02,13,0.20,167,2.65,276,4.37,23,0.96,118,4.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1733,1718,976,4167,1361,82,1,38,650,1052,71,326
